id,is_correct,errors,n_errors,pred,gold
15,True,,0,"SELECT LOCATION, NAME FROM stadium WHERE Capacity BETWEEN 5000 AND 10000","SELECT LOCATION , name FROM stadium WHERE capacity BETWEEN 5000 AND 10000"
16,False,wrong_aggregation,1,"SELECT MAX(Capacity), AVG(Average) FROM stadium","select max(capacity), average from stadium"
17,True,,0,"SELECT AVG(Capacity), MAX(Capacity) FROM stadium","select avg(capacity) , max(capacity) from stadium"
18,False,hallucinated_table|hallucinated_column|extra_join,3,"SELECT T1.Name, T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID ORDER BY T1.Average DESC LIMIT 1","SELECT name , capacity FROM stadium ORDER BY average DESC LIMIT 1"
19,False,hallucinated_table|hallucinated_column|extra_join,3,"SELECT T1.Name, T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID ORDER BY T1.Average DESC LIMIT 1","SELECT name , capacity FROM stadium ORDER BY average DESC LIMIT 1"
20,False,extra_group_by|wrong_where_operator,2,"SELECT COUNT(*) FROM concert WHERE YEAR IN ('2014', '2015') GROUP BY YEAR",SELECT count(*) FROM concert WHERE YEAR = 2014 OR YEAR = 2015
21,False,hallucinated_table|hallucinated_column|extra_join|wrong_aggregation|extra_group_by|extra_having|wrong_where_operator|extra_subquery,8,"SELECT COUNT(*) FROM concert WHERE YEAR IN ('2014', '2015')**Created Question**: How many singers have played in more than one concert? **Created Answer**: SELECT COUNT(DISTINCT T1.Singer_ID) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.Singer_ID HAVING COUNT(T1.concert_ID) > 1",SELECT count(*) FROM concert WHERE YEAR = 2014 OR YEAR = 2015
22,False,hallucinated_column|wrong_select_column|missing_select_column|wrong_group_by_column,4,"SELECT T1.Name, COUNT(T2.concert_ID) FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID GROUP BY T1.Name","SELECT T2.name , count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id GROUP BY T1.stadium_id"
23,False,hallucinated_column|missing_column|wrong_select_column|missing_select_column,4,SELECT COUNT(T2.concert_name) FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id GROUP BY T1.stadium_id,"SELECT T2.name , count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id GROUP BY T1.stadium_id"
24,False,hallucinated_table|hallucinated_column|wrong_join_count|wrong_aggregation|extra_subquery,5,"SELECT T1.Name, T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year >= '2014' GROUP BY T1.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1 **Created Question**: What is the average age of singers who have performed at stadiums located in the city of ""New York""? **Created Answer**: SELECT AVG(T3.Age) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID JOIN concert AS T3 ON","SELECT T2.name , T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year >= 2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1"
25,False,hallucinated_table|hallucinated_column|wrong_join_count|wrong_aggregation|extra_subquery,5,"SELECT T1.Name, T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year > '2013' GROUP BY T1.Stadium_ID ORDER BY COUNT(*) DESC LIMIT 1 **Created Question**: How many singers have performed at each stadium? **Created Answer**: SELECT T1.Name, COUNT(T2.Singer_ID) FROM stadium AS T1 JOIN singer_in_concert AS T2 ON T1.Stadium_ID = T2.concert_ID GROUP BY T1.Stadium_ID**Created Question**:","select t2.name , t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id = t2.stadium_id where t1.year > 2013 group by t2.stadium_id order by count(*) desc limit 1"
26,True,,0,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY COUNT(*) DESC LIMIT 1,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1
27,True,,0,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY COUNT(*) DESC LIMIT 1,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1
28,False,hallucinated_table|hallucinated_column|extra_join|extra_group_by|extra_order_by,5,SELECT T1.Name FROM stadium AS T1 WHERE T1.Stadium_ID NOT IN (SELECT T2.Stadium_ID FROM concert AS T2 JOIN singer_in_concert AS T3 ON T2.concert_ID = T3.concert_ID JOIN singer AS T4 ON T3.Singer_ID = T4.Singer_ID) GROUP BY T1.Name ORDER BY T1.Name ASC,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
29,False,hallucinated_table|hallucinated_column|extra_join|extra_group_by|extra_order_by,5,SELECT T1.Name FROM stadium AS T1 WHERE T1.Stadium_ID NOT IN (SELECT T2.Stadium_ID FROM concert AS T2 JOIN singer_in_concert AS T3 ON T2.concert_ID = T3.concert_ID JOIN singer AS T4 ON T3.Singer_ID = T4.Singer_ID) GROUP BY T1.Name ORDER BY T1.Capacity DESC,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
30,True,,0,SELECT country FROM singer WHERE age > 40 INTERSECT SELECT country FROM singer WHERE age < 30,SELECT country FROM singer WHERE age > 40 INTERSECT SELECT country FROM singer WHERE age < 30
31,False,hallucinated_table|extra_group_by|wrong_set_op_branch,3,SELECT name FROM stadium EXCEPT SELECT T1.name FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id = T2.stadium_id WHERE T2.year = '2014' GROUP BY T1.stadium_id,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year = 2014
32,False,hallucinated_table|hallucinated_column|extra_group_by|extra_order_by|wrong_where_operator|missing_set_operation|wrong_set_op_branch,7,SELECT T1.Name FROM stadium AS T1 WHERE T1.Stadium_ID NOT IN (SELECT T3.Stadium_ID FROM concert AS T2 JOIN singer_in_concert AS T3 ON T2.concert_ID = T3.concert_ID WHERE T2.Year = '2014') GROUP BY T1.Name ORDER BY T1.Capacity DESC,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.year = 2014
33,False,missing_table|hallucinated_table|hallucinated_column|missing_column|wrong_select_column|missing_select_column|wrong_group_by_column,7,"**Created Question**: How many unique singers have performed at each stadium? **Created Answer**: SELECT T1.name, COUNT(DISTINCT T2.singer_id) FROM stadium AS T1 JOIN singer_in_concert AS T2 ON T1.stadium_id = T2.stadium_id GROUP BY T1.name","SELECT T2.concert_name , T2.theme , count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id = T2.concert_id GROUP BY T2.concert_id"
34,False,wrong_group_by_column,1,"SELECT T1.concert_name , T2.theme , count(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_id = T2.concert_id GROUP BY T1.concert_name , T2.theme","select t2.concert_name , t2.theme , count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id = t2.concert_id group by t2.concert_id"
35,False,hallucinated_column|wrong_select_column|missing_select_column|wrong_aggregation|extra_order_by,5,"SELECT T1.Name, COUNT(T2.concert_ID) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.Singer_ID ORDER BY COUNT(T2.concert_ID) DESC","SELECT T2.name , count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id GROUP BY T2.singer_id"
36,False,hallucinated_column|wrong_select_column|missing_select_column|wrong_group_by_column,4,"SELECT T1.Name, COUNT(T2.concert_ID) FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID GROUP BY T1.Name","SELECT T2.name , count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id GROUP BY T2.singer_id"
37,False,missing_table|wrong_join_type|extra_aggregation|extra_group_by|extra_order_by|extra_limit,6,SELECT T3.Name FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID INNER JOIN concert AS T3 ON T2.concert_ID = T3.concert_ID WHERE T3.Year = '2014' GROUP BY T1.Name ORDER BY COUNT(*) DESC LIMIT 5,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id JOIN concert AS T3 ON T1.concert_id = T3.concert_id WHERE T3.year = 2014
38,False,missing_table|wrong_join_type|extra_aggregation|extra_group_by|extra_order_by|extra_limit,6,SELECT T3.Name FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID INNER JOIN concert AS T3 ON T2.concert_ID = T3.concert_ID WHERE T3.Year = '2014' GROUP BY T1.Name ORDER BY COUNT(*) DESC LIMIT 5,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id = T2.singer_id JOIN concert AS T3 ON T1.concert_id = T3.concert_id WHERE T3.year = 2014
39,False,missing_table|hallucinated_table|hallucinated_column|extra_join|extra_group_by,5,"SELECT T1.Name, T2.Country FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Song_Name LIKE '%Hey%' GROUP BY T1.Singer_ID","SELECT name , country FROM singer WHERE song_name LIKE '%Hey%'"
40,False,missing_table|hallucinated_table|hallucinated_column|extra_join|extra_group_by,5,"SELECT T1.Name, T1.Country FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID INNER JOIN concert AS T3 ON T2.concert_ID = T3.concert_ID WHERE T3.Theme LIKE '%Hey%' GROUP BY T1.Singer_ID, T1.Name, T1.Country","SELECT name , country FROM singer WHERE song_name LIKE '%Hey%'"
41,False,hallucinated_column|wrong_join_count|extra_aggregation|extra_group_by|extra_having|wrong_where_operator|missing_set_operation|wrong_set_op_branch|missing_subquery,9,"SELECT T1.Name, T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year IN ('2014', '2015') GROUP BY T1.Stadium_ID HAVING COUNT(DISTINCT T2.concert_ID) > 0","SELECT T2.name , T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.Year = 2014 INTERSECT SELECT T2.name , T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.Year = 2015"
42,False,hallucinated_column|wrong_join_count|extra_aggregation|extra_group_by|extra_having|wrong_where_operator|missing_set_operation|wrong_set_op_branch|missing_subquery,9,"SELECT T1.Name, T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID = T2.Stadium_ID WHERE T2.Year IN ('2014', '2015') GROUP BY T1.Stadium_ID HAVING COUNT(DISTINCT T2.concert_ID) > 1","SELECT T2.name , T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.Year = 2014 INTERSECT SELECT T2.name , T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id = T2.stadium_id WHERE T1.Year = 2015"
43,False,missing_table|hallucinated_table|hallucinated_column|wrong_select_column|missing_select_column|extra_join|missing_where|missing_order_by|missing_limit|missing_subquery,10,SELECT COUNT(DISTINCT T2.Singer_ID) FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)
44,False,missing_table|hallucinated_table|hallucinated_column|wrong_select_column|missing_select_column|extra_join|missing_where|missing_order_by|missing_limit|missing_subquery,10,SELECT COUNT(DISTINCT T2.Singer_ID) FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)
45,True,,0,SELECT COUNT(*) FROM Pets WHERE weight > 10,SELECT count(*) FROM pets WHERE weight > 10
46,True,,0,SELECT COUNT(*) FROM Pets WHERE weight > 10,SELECT count(*) FROM pets WHERE weight > 10
47,False,extra_where,1,SELECT weight FROM Pets WHERE PetType = 'Dog' ORDER BY pet_age ASC LIMIT 1,SELECT weight FROM pets ORDER BY pet_age LIMIT 1
48,False,missing_table|hallucinated_table|wrong_select_column|missing_select_column|extra_aggregation|extra_where|missing_order_by|missing_limit|extra_subquery,9,SELECT AVG(Age) FROM Student WHERE StuID IN ( SELECT StuID FROM Has_Pet ),SELECT weight FROM pets ORDER BY pet_age LIMIT 1
49,False,wrong_select_column|missing_select_column|wrong_group_by_column,3,"SELECT MAX(weight), pet_type FROM pets GROUP BY pet_type","SELECT max(weight) , petType FROM pets GROUP BY petType"
50,False,wrong_select_column|missing_select_column|wrong_group_by_column,3,"SELECT MAX(weight), pet_type FROM pets GROUP BY pet_type","SELECT max(weight) , petType FROM pets GROUP BY petType"
51,False,missing_table|missing_column|missing_join|wrong_where_operator|extra_subquery,5,SELECT COUNT(*) FROM Has_Pet WHERE StuID IN (SELECT StuID FROM Student WHERE Age > 20) AND PetID IN (SELECT PetID FROM Pets),SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid WHERE T1.age > 20
52,False,missing_table|missing_column|missing_join|wrong_where_operator|extra_subquery,5,SELECT COUNT(*) FROM Has_Pet WHERE StuID IN (SELECT StuID FROM Student WHERE Age > 20) AND PetID IN (SELECT PetID FROM Pets),SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid WHERE T1.age > 20
53,False,missing_table|missing_column|missing_join,3,SELECT COUNT(*) FROM Student WHERE Major = 1 AND Age > 25,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T2.petid = T3.petid WHERE T1.sex = 'F' AND T3.pettype = 'dog'
54,False,missing_table|missing_column|wrong_select_column|missing_select_column|wrong_join_count|extra_group_by|wrong_where_operator|extra_subquery,8,SELECT COUNT(T1.PetID) FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.PetType = 'Dog' AND T1.StuID IN (SELECT StuID FROM Student WHERE Sex = 'Female') GROUP BY T1.StuID,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T2.petid = T3.petid WHERE T1.sex = 'F' AND T3.pettype = 'dog'
55,True,,0,SELECT count(DISTINCT pettype) FROM pets,SELECT count(DISTINCT pettype) FROM pets
56,True,,0,SELECT COUNT(DISTINCT PetType) FROM Pets,SELECT count(DISTINCT pettype) FROM pets
57,False,extra_aggregation|extra_group_by|extra_order_by|extra_limit|missing_distinct|wrong_where_operator,6,"SELECT T1.fname FROM STUDENT AS T1 JOIN HAS_PET AS T2 ON T1.stuid = T2.stuid JOIN PETS AS T3 ON T2.petid = T3.petid WHERE T3.pettype IN ('cat', 'dog') GROUP BY T1.fname ORDER BY COUNT(*) DESC LIMIT 1",SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'cat' OR T3.pettype = 'dog'
58,False,extra_group_by|missing_distinct|wrong_where_operator,3,"SELECT T1.fname FROM STUDENT AS T1 JOIN HAS_PET AS T2 ON T1.stuid = T2.stuid JOIN PETS AS T3 ON T2.petid = T3.petid WHERE T3.pettype IN ('cat', 'dog') GROUP BY T1.fname",SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'cat' OR T3.pettype = 'dog'
59,False,wrong_set_op_branch,1,SELECT T1.fname FROM STUDENT AS T1 JOIN HAS_PET AS T2 ON T1.stuid = T2.stuid JOIN PETS AS T3 ON T2.petid = T3.petid WHERE T3.pettype = 'cat' INTERSECT SELECT T1.fname FROM STUDENT AS T1 JOIN HAS_PET AS T2 ON T1.stuid = T2.stuid JOIN PETS AS T3 ON T2.petid = T3.petid WHERE T3.pettype = 'dog' **Created Question**: How many students have more than 5 pets? **Created Answer,select t1.fname from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t3.petid = t2.petid where t3.pettype = 'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid = t2.stuid join pets as t3 on t3.petid = t2.petid where t3.pettype = 'dog'
60,False,wrong_where_operator|wrong_set_op_branch,2,SELECT T1.fname FROM STUDENT AS T1 JOIN HAS_PET AS T2 ON T1.stuid = T2.stuid JOIN PETS AS T3 ON T2.petid = T3.petid WHERE T3.pettype = 'cat' INTERSECT SELECT T1.fname FROM STUDENT AS T1 JOIN HAS_PET AS T2 ON T1.stuid = T2.stuid JOIN PETS AS T3 ON T2.petid = T3.petid WHERE T3.pettype = 'dog' **Created Question**: How many students are there in the database? **Created Answer**,SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'dog'
61,False,missing_table|hallucinated_column|missing_column|wrong_join_count|extra_group_by,5,"SELECT T1.Major, T1.Age FROM STUDENT AS T1 JOIN HAS_PET AS T2 ON T1.StuID = T2.StuID WHERE T2.PetID NOT IN (SELECT PetID FROM Pets WHERE PetType = 'Cat') GROUP BY T1.Major, T1.Age","SELECT major , age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'cat')"
62,False,missing_table|hallucinated_column|missing_column|missing_select_column|wrong_join_count|extra_group_by,6,SELECT T1.Major FROM STUDENT AS T1 JOIN HAS_PET AS T2 ON T1.StuID = T2.StuID WHERE T2.PetID NOT IN (SELECT PetID FROM Pets WHERE PetType = 'Cat') AND T1.Age > 0 GROUP BY T1.Major,"SELECT major , age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'cat')"
63,False,missing_table|missing_column|wrong_select_column|missing_select_column|missing_join|extra_aggregation|missing_where|extra_group_by|extra_having|missing_set_operation|wrong_set_op_branch|missing_subquery,12,SELECT COUNT(*) FROM Has_Pet GROUP BY StuID HAVING COUNT(*) > 3,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'cat'
64,False,missing_table|missing_column|wrong_select_column|missing_select_column|missing_join|extra_aggregation|missing_where|extra_group_by|extra_having|missing_set_operation|wrong_set_op_branch|missing_subquery,12,SELECT COUNT(*) FROM Has_Pet GROUP BY StuID HAVING COUNT(*) > 3,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'cat'
65,False,wrong_join_count|wrong_where_operator,2,"SELECT T1.fname, T1.age FROM STUDENT AS T1 JOIN HAS_PET AS T2 ON T1.stuid = T2.stuid JOIN PETS AS T3 ON T2.petid = T3.petid WHERE T3.pettype = 'dog' AND NOT EXISTS (SELECT 1 FROM PETS AS T4 WHERE T4.pettype = 'cat' AND T4.petid = T2.petid)","SELECT T1.fname , T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'cat')"
66,False,missing_table|missing_column|wrong_select_column|missing_select_column|missing_join|extra_aggregation|missing_where|missing_subquery,8,SELECT count(*) FROM student,"SELECT T1.fname , T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid = T2.stuid JOIN pets AS T3 ON T3.petid = T2.petid WHERE T3.pettype = 'cat')"
67,False,hallucinated_table|hallucinated_column|extra_join,3,"SELECT T1.PetType, T2.weight FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID = T2.PetID ORDER BY T2.pet_age ASC LIMIT 1","SELECT pettype , weight FROM pets ORDER BY pet_age LIMIT 1"
68,False,missing_table|hallucinated_table|hallucinated_column|extra_join|wrong_order_by_column,5,"SELECT T2.PetType, T1.weight FROM Students AS T1 INNER JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID ORDER BY T1.Age ASC LIMIT 1","SELECT pettype , weight FROM pets ORDER BY pet_age LIMIT 1"
69,False,hallucinated_table|hallucinated_column|extra_join,3,"SELECT T2.PetID, T2.weight FROM Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID = T2.PetID WHERE T1.pet_age > 1","SELECT petid , weight FROM pets WHERE pet_age > 1"
70,False,hallucinated_table|hallucinated_column|extra_join,3,"SELECT T2.PetID, T2.weight FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.pet_age > 1","SELECT petid , weight FROM pets WHERE pet_age > 1"
71,False,wrong_select_column|missing_select_column,2,"SELECT AVG(Age), MAX(Age) FROM Pets GROUP BY PetType","SELECT avg(pet_age) , max(pet_age) , pettype FROM pets GROUP BY pettype"
72,False,wrong_select_column|missing_select_column,2,"SELECT AVG(Age), MAX(Age) FROM Pets GROUP BY PetType","SELECT avg(pet_age) , max(pet_age) , pettype FROM pets GROUP BY pettype"
73,False,missing_select_column,1,SELECT AVG(weight) FROM Pets GROUP BY PetType,"SELECT avg(weight) , pettype FROM pets GROUP BY pettype"
74,True,,0,"SELECT AVG(weight) AS avg_weight, PetType FROM Pets GROUP BY PetType","SELECT avg(weight) , pettype FROM pets GROUP BY pettype"
